feature,coefficient
client_client01,0.5279018320670332
client_client02,-2.0693576192456664
client_client03,0.3986879465518032
client_client04,0.12237994720596052
client_client05,1.164180761781965
client_client06,1.2135488077929821
client_client07,-1.2960237196600237
client_client08,-0.4285140993522594
client_client09,-1.3522305986800507
client_client10,0.27567798558465995
client_client11,1.0361763639574697
client_client12,-0.09673170294287955
client_client13,-1.1177361601310376
client_client14,0.1677851311406934
client_client15,0.5524304452377022
client_client16,0.9022985478146356
site_gru03,-0.5506369286186675
site_gru05,1.4774751507967483
site_gru06,1.2031724793560838
site_rnp_rj,-1.529820425850802
site_rnp_sp,-0.5997164065603734
throughput_download,0.37822262711519306
throughput_upload,-0.19900469314617467
rtt_download,-0.5536652692160172
rtt_upload,0.14868540734783148
throughput_download_std,0.0519938470480894
throughput_upload_std,-0.0346490048492174
rtt_download_std,0.2761521251282212
rtt_upload_std,-0.19955244067421823
