timestamp_start,timestamp_end,time,throughput_download,rtt_download,throughput_upload,rtt_upload,throughput_download_std,rtt_download_std,throughput_upload_std,rtt_upload_std,event,client_client01,client_client02,client_client03,client_client04,client_client05,client_client06,client_client07,client_client08,client_client09,client_client10,client_client11,client_client12,client_client13,client_client14,client_client15,client_client16,site_gru03,site_gru05,site_gru06,site_rnp_rj,site_rnp_sp,cluster,probability_cluster_0,probability_cluster_1,rtt_download_outliers_rate,rtt_upload_outliers_rate,throughput_download_outliers_rate,throughput_upload_outliers_rate
2024-05-06 11:17:27,2024-05-07 09:17:15,0.9165277777777778,679.30525,20.61610800744879,739.5422500000001,20.2239,98.08494049969622,1.6289760356984355,64.32183690578348,2.466793143035369,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0.3068177722777128,0.6931822277222872,0.0,0.0,0.0,0.0
2024-05-07 09:17:15,2024-05-26 21:51:33,19.523819444444445,780.9243,20.61610800744879,739.5422500000001,20.2239,79.96838114898584,1.6289760356984355,64.32183690578348,2.466793143035369,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0.26515026577873435,0.7348497342212656,0.0053475935828877,0.02406417112299465,0.0,0.0
2024-05-26 21:51:33,2024-06-02 17:36:24,6.8228125,795.4159999999999,20.61610800744879,866.1993,21.8626,72.7476943052963,1.6289760356984355,32.26963599863207,6.292023357938375,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0.16900039361895192,0.8309996063810481,0.03355704697986577,0.020134228187919462,0.0,0.0
2024-05-06 10:51:29,2024-06-02 16:34:09,27.237962962962964,809.8223260869565,15.175386956521736,846.7404782608695,12.73046956521739,75.83131409424483,1.297642700772607,72.21079311854683,1.4090724089466913,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0.1084995061432259,0.8915004938567741,0.004347826086956522,0.017391304347826087,0.0,0.0
2024-05-06 15:14:17,2024-06-28 10:06:21,52.78615740740741,163.68072999999998,120.22054999999997,173.62175000000002,122.55099999999997,23.27497607359503,5.357247540285473,18.19994975665419,5.414633554204363,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.9794434828585551,0.020556517141444876,0.023166023166023165,0.015444015444015444,0.0,0.0
2024-06-28 10:06:21,2024-07-01 12:51:04,3.114386574074074,81.160495,223.32775,82.6611845,229.4382,8.3380769361485,3.390698497748149,21.913786038484755,5.593718842077292,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.9998497225947813,0.00015027740521872192,0.0,0.0,0.043478260869565216,0.043478260869565216
2024-07-01 12:51:04,2024-07-09 14:33:28,8.071111111111112,244.51896895,104.16615000000002,82.6611845,105.69805000000001,225.44800347259962,37.82369938943878,21.913786038484755,39.52828244164983,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.9831346072233474,0.016865392776652527,0.03225806451612903,0.0,0.0,0.0
2024-07-09 14:33:28,2024-07-17 20:10:23,8.233969907407408,669.8737282499999,19.2717,747.5252499999999,14.290000000000001,211.6131796418896,7.761502873324958,90.65164453054399,1.7328682945670713,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.47439326392448244,0.5256067360755176,0.043478260869565216,0.043478260869565216,0.0,0.0
2024-07-17 20:10:23,2024-07-23 13:12:05,5.709513888888889,165.82485000000003,19.2717,747.5252499999999,14.290000000000001,15.0803590047836,7.761502873324958,90.65164453054399,1.7328682945670713,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0.08179293781829766,0.9182070621817023,0.021739130434782608,0.021739130434782608,0.06521739130434782,0.0
2024-05-06 16:19:18,2024-06-07 08:00:18,31.653472222222224,744.9033,16.021549999999998,741.32885,12.016386666666666,45.042561330017875,1.7079084924026384,105.86092909208512,1.093111633876582,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0.009191740647077506,0.9908082593529225,0.012345679012345678,0.0,0.0,0.0
2024-06-07 08:00:18,2024-06-10 11:40:04,3.1526157407407407,744.9033,16.021549999999998,700.9945,12.016386666666666,45.042561330017875,1.7079084924026384,70.222976247844,1.093111633876582,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0.011303099214670764,0.9886969007853292,0.0,0.0,0.0,0.0
2024-06-10 11:40:04,2024-07-04 09:28:06,23.90835648148148,744.9033,16.021549999999998,700.9945,12.016386666666666,45.042561330017875,1.7079084924026384,70.222976247844,1.093111633876582,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0.011303099214670764,0.9886969007853292,0.0,0.0,0.0,0.0
2024-07-04 09:28:06,2024-07-23 02:13:28,18.698171296296298,520.8053944999999,16.021549999999998,700.9945,12.016386666666666,313.08745898309957,1.7079084924026384,70.222976247844,1.093111633876582,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0.2027479645730086,0.7972520354269914,0.0,0.0,0.0,0.0
2024-05-06 14:17:33,2024-05-13 22:14:05,7.330925925925926,681.7112999999999,20.650700000000004,702.0044759036144,17.7846,60.47928257902606,1.991194486786895,116.98107312250629,1.4830252650720772,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0.3615957308955169,0.6384042691044831,0.007751937984496124,0.023255813953488372,0.0,0.0
2024-05-13 22:14:05,2024-06-23 00:42:31,40.1030787037037,729.26475,20.650700000000004,702.0044759036144,17.7846,30.990868359422468,1.991194486786895,116.98107312250629,1.4830252650720772,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0.28734701451462896,0.712652985485371,0.0028328611898017,0.031161473087818695,0.0,0.0
2024-06-23 00:42:31,2024-07-06 22:21:27,13.902037037037037,683.2383000000001,20.650700000000004,702.0044759036144,21.483799999999995,74.611105583764,1.991194486786895,116.98107312250629,7.723587607895835,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.30006538043513986,0.6999346195648601,0.0035842293906810036,0.03225806451612903,0.0,0.0
