Feature,Regressão Logística,SurvMixClust
client01,0.748682528455529,0.748682528455519
client02,-1.99789970409466,-1.99789970409466
client03,0.617019653250002,0.617019653250001
client04,0.23134330962744,0.231343309627434
client05,1.32890504048811,1.32890504048811
client06,-1.00345830352472,-1.00345830352472
client07,-1.53796052344256,-1.53796052344256
client08,0.308649554592414,0.308649554592415
client09,0.00454278331384786,0.00454278331385215
client10,0.0475566703471665,0.0475566703471673
client11,0.784108413703242,0.784108413703236
client12,0.0890126839122738,0.0890126839122663
client13,-0.936918910696968,-0.93691891069696
client14,0.738869193658523,0.738869193658523
client15,0.542634844005429,0.542634844005437
client16,0.0349407528187457,0.0349407528187474
gru03,-0.419725379605617,-0.419725379605617
gru05,1.50701560606177,1.50701560606177
gru06,1.89741112954663,1.89741112954663
rnp_rj,-1.76176193558076,-1.76176193558076
rnp_sp,-1.22291143400819,-1.22291143400819
rtt_download,-1.59205497528668,-1.59205497528668
rtt_download_std,-0.334556271693353,-0.334556271693352
rtt_upload,-0.619916969840609,-0.619916969840608
rtt_upload_std,0.905134639745135,0.905134639745135
throughput_download,-0.0149537239207344,-0.0149537239207336
throughput_download_std,-1.04130180079447,-1.04130180079447
throughput_upload,0.685886389314221,0.685886389314218
throughput_upload_std,0.185976635256794,0.185976635256794
